OrderID	OrderDate	CustomerID	CustomerName	ProductCategory	ProductName	Quantity	UnitPrice	TotalAmount	Region	SalesRep	PaymentMethod	ShippingCost	OrderStatus
1001	01-01-2023	C2019	Tech Mart	Electronics	Tablet 10 inch	46	18000	828000	South	Rajesh Kumar	UPI	478	Delivered
1002	01-01-2023	C2022	Elite Traders	Electronics	Docking Station	2	8500	17000	West	Amit Patel	UPI	759	Shipped
1003	01-01-2023	C2022	Elite Traders	Furniture	Computer Desk	12	9500	114000	East	Rajesh Kumar	Credit Card	827	Delivered
1004	01-01-2023	C2005	Digital Hub	Electronics	External SSD 1TB	24	8500	204000	South	Priya Sharma	Credit Card	402	Delivered
1005	01-01-2023	C2000	ABC Corp	Furniture	Filing Cabinet	15	8500	127500	East	Amit Patel	UPI	333	Delivered
1006	01-01-2023	C2007	Office Mart	Office Supplies	Whiteboard Markers	15	120	1800	West	Neha Singh	Cash	440	Delivered
1007	01-01-2023	C2014	Tech World	Office Supplies	Calculator Scientific	46	1500	69000	North	Priya Sharma	UPI	408	Delivered
1008	02-01-2023	C2021	Prime Solutions	Furniture	Filing Cabinet	48	8500	408000	East	Rajesh Kumar	Bank Transfer	717	Cancelled
1009	02-01-2023	C2016	Corporate Supplies	Electronics	Graphics Card	26	55000	1430000	West	Priya Sharma	UPI	575	Delivered
1010	02-01-2023	C2019	Tech Mart	Electronics	External SSD 1TB	21	8500	178500	South	Amit Patel	Credit Card	489	Cancelled
1011	02-01-2023	C2015	Office Plus	Electronics	Desktop Computer	37	35000	1295000	East	Priya Sharma	Credit Card	142	Delivered
1012	02-01-2023	C2024	Pro Enterprises	Office Supplies	Stapler Heavy Duty	33	450	14850	South	Priya Sharma	Cash	723	Delivered
1013	02-01-2023	C2004	Metro Enterprises	Furniture	Meeting Chair	14	5500	77000	West	Amit Patel	Cash	751	Delivered
1014	02-01-2023	C2011	Data Systems	Furniture	Meeting Chair	26	5500	143000	East	Neha Singh	Bank Transfer	892	Delivered
1015	02-01-2023	C2008	Tech Bazaar	Office Supplies	Wireless Mouse	34	800	27200	North	Priya Sharma	Credit Card	217	Cancelled
1016	03-01-2023	C2013	Enterprise Solutions	Office Supplies	Printer Cartridge	47	1200	56400	South	Rajesh Kumar	Cash	412	Delivered
1017	03-01-2023	C2017	Digital Store	Office Supplies	Pen Set Premium	43	450	19350	East	Amit Patel	Cash	888	Delivered
1018	03-01-2023	C2021	Prime Solutions	Office Supplies	Desk Organizer	39	850	33150	East	Amit Patel	Bank Transfer	445	Delivered
1019	03-01-2023	C2015	Office Plus	Electronics	Smart Watch	3	12000	36000	South	Priya Sharma	Bank Transfer	609	Delivered
1020	03-01-2023	C2018	Office Depot	Office Supplies	File Folders Set	17	280	4760	North	Amit Patel	Cash	553	Delivered
1021	03-01-2023	C2001	Tech Solutions	Office Supplies	File Folders Set	32	280	8960	East	Rajesh Kumar	UPI	348	Processing
1022	03-01-2023	C2007	Office Mart	Electronics	USB Flash Drive 64GB	17	650	11050	West	Rajesh Kumar	Cash	712	Delivered
1023	04-01-2023	C2020	Business Hub	Furniture	Bookshelf	6	15000	90000	North	Rajesh Kumar	Credit Card	507	Delivered
1024	04-01-2023	C2015	Office Plus	Furniture	Meeting Chair	23	5500	126500	South	Rajesh Kumar	Bank Transfer	111	Delivered
1025	04-01-2023	C2014	Tech World	Furniture	Meeting Chair	26	5500	143000	West	Neha Singh	UPI	770	Delivered
1026	04-01-2023	C2014	Tech World	Furniture	Executive Chair	32	12000	384000	North	Neha Singh	Credit Card	204	Delivered
1027	04-01-2023	C2021	Prime Solutions	Furniture	Ergonomic Chair	12	18000	216000	West	Rajesh Kumar	Bank Transfer	601	Delivered
1028	04-01-2023	C2019	Tech Mart	Furniture	Executive Chair	29	12000	348000	South	Amit Patel	UPI	548	Delivered
1029	04-01-2023	C2017	Digital Store	Office Supplies	Pen Set Premium	47	450	21150	East	Amit Patel	Credit Card	335	Delivered
1030	04-01-2023	C2015	Office Plus	Office Supplies	Printer Cartridge	37	1200	44400	East	Amit Patel	Cash	356	Cancelled
1031	05-01-2023	C2014	Tech World	Furniture	Meeting Chair	36	5500	198000	West	Neha Singh	Bank Transfer	326	Shipped
1032	05-01-2023	C2012	Quick Shop	Office Supplies	Wireless Mouse	14	800	11200	East	Priya Sharma	Credit Card	591	Delivered
1033	05-01-2023	C2003	Smart Systems	Furniture	Standing Desk	41	25000	1025000	North	Neha Singh	Bank Transfer	501	Delivered
1034	05-01-2023	C2003	Smart Systems	Electronics	Tablet 10 inch	42	18000	756000	North	Rajesh Kumar	UPI	180	Cancelled
1035	05-01-2023	C2021	Prime Solutions	Electronics	Laptop Pro 15	39	45000	1755000	North	Rajesh Kumar	Cash	473	Shipped
1036	05-01-2023	C2007	Office Mart	Furniture	Bookshelf	12	15000	180000	West	Neha Singh	UPI	882	Shipped
1037	05-01-2023	C2016	Corporate Supplies	Electronics	Power Bank 20000mAh	23	2200	50600	East	Amit Patel	Bank Transfer	189	Cancelled
1038	05-01-2023	C2023	Mega Systems	Office Supplies	Desk Organizer	14	850	11900	South	Rajesh Kumar	UPI	457	Delivered
1039	06-01-2023	C2022	Elite Traders	Electronics	Desktop Computer	50	35000	1750000	North	Rajesh Kumar	Credit Card	795	Cancelled
1040	06-01-2023	C2024	Pro Enterprises	Electronics	Laptop Bag	41	1800	73800	South	Neha Singh	Credit Card	344	Shipped
1041	06-01-2023	C2011	Data Systems	Office Supplies	Desk Organizer	37	850	31450	East	Neha Singh	Credit Card	355	Delivered
1042	06-01-2023	C2019	Tech Mart	Office Supplies	Notebook Set	11	320	3520	West	Priya Sharma	Cash	899	Delivered
1043	06-01-2023	C2015	Office Plus	Office Supplies	Wireless Mouse	16	800	12800	West	Priya Sharma	UPI	378	Processing
1044	06-01-2023	C2005	Digital Hub	Furniture	Conference Table	37	45000	1665000	East	Amit Patel	Bank Transfer	788	Delivered
1045	06-01-2023	C2023	Mega Systems	Furniture	Standing Desk	41	25000	1025000	West	Amit Patel	UPI	319	Delivered
1046	07-01-2023	C2001	Tech Solutions	Office Supplies	File Folders Set	25	280	7000	West	Amit Patel	UPI	363	Delivered
1047	07-01-2023	C2023	Mega Systems	Electronics	Wireless Keyboard	47	1500	70500	North	Priya Sharma	Credit Card	541	Delivered
1048	07-01-2023	C2005	Digital Hub	Furniture	Filing Cabinet	42	8500	357000	North	Amit Patel	Bank Transfer	580	Processing
1049	07-01-2023	C2024	Pro Enterprises	Furniture	Meeting Chair	10	5500	55000	West	Rajesh Kumar	Cash	713	Processing
1050	07-01-2023	C2006	Innovative Tech	Furniture	Filing Cabinet	14	8500	119000	East	Rajesh Kumar	Cash	122	Delivered
1051	07-01-2023	C2019	Tech Mart	Office Supplies	Stapler Heavy Duty	41	450	18450	East	Priya Sharma	Cash	777	Delivered
1052	07-01-2023	C2022	Elite Traders	Office Supplies	Notebook Set	35	320	11200	South	Rajesh Kumar	UPI	378	Processing
1053	07-01-2023	C2000	ABC Corp	Furniture	Executive Chair	42	12000	504000	West	Rajesh Kumar	Cash	706	Delivered
1054	08-01-2023	C2017	Digital Store	Furniture	Conference Table	48	45000	2160000	South	Neha Singh	UPI	735	Delivered
1055	08-01-2023	C2023	Mega Systems	Electronics	Laptop Bag	35	1800	63000	North	Amit Patel	UPI	519	Cancelled
1056	08-01-2023	C2003	Smart Systems	Electronics	Desktop Computer	43	35000	1505000	North	Priya Sharma	Cash	863	Shipped
1057	08-01-2023	C2015	Office Plus	Office Supplies	Desk Organizer	49	850	41650	West	Priya Sharma	UPI	272	Processing
1058	08-01-2023	C2022	Elite Traders	Office Supplies	Pen Set Premium	16	450	7200	East	Rajesh Kumar	Cash	862	Shipped
1059	08-01-2023	C2009	Supply Chain Co	Furniture	Office Partition	26	12000	312000	South	Rajesh Kumar	Credit Card	879	Delivered
1060	08-01-2023	C2019	Tech Mart	Furniture	Filing Cabinet	6	8500	51000	North	Amit Patel	Credit Card	398	Cancelled
1061	08-01-2023	C2015	Office Plus	Furniture	Standing Desk	19	25000	475000	North	Priya Sharma	Bank Transfer	520	Cancelled
1062	09-01-2023	C2022	Elite Traders	Furniture	Executive Chair	9	12000	108000	South	Rajesh Kumar	UPI	160	Processing
1063	09-01-2023	C2013	Enterprise Solutions	Office Supplies	Whiteboard Markers	32	120	3840	South	Rajesh Kumar	Cash	777	Delivered
1064	09-01-2023	C2023	Mega Systems	Office Supplies	Wireless Mouse	40	800	32000	West	Neha Singh	Bank Transfer	315	Cancelled
1065	09-01-2023	C2021	Prime Solutions	Electronics	Headphones Wireless	1	4500	4500	South	Neha Singh	Cash	613	Delivered
1066	09-01-2023	C2009	Supply Chain Co	Furniture	Standing Desk	24	25000	600000	North	Rajesh Kumar	Cash	186	Delivered
1067	09-01-2023	C2008	Tech Bazaar	Electronics	Desktop Computer	34	35000	1190000	South	Neha Singh	Cash	121	Delivered
1068	10-01-2023	C2000	ABC Corp	Office Supplies	Desk Organizer	17	850	14450	South	Rajesh Kumar	Bank Transfer	719	Delivered
1069	10-01-2023	C2018	Office Depot	Electronics	Desktop Computer	5	35000	175000	North	Rajesh Kumar	Credit Card	824	Delivered
1070	10-01-2023	C2022	Elite Traders	Office Supplies	Calculator Scientific	40	1500	60000	West	Rajesh Kumar	UPI	479	Cancelled
1071	10-01-2023	C2008	Tech Bazaar	Office Supplies	Whiteboard Markers	45	120	5400	West	Amit Patel	Bank Transfer	154	Delivered
1072	10-01-2023	C2000	ABC Corp	Office Supplies	Stapler Heavy Duty	18	450	8100	West	Rajesh Kumar	Credit Card	335	Delivered
1073	10-01-2023	C2002	Global Traders	Furniture	Standing Desk	30	25000	750000	South	Rajesh Kumar	Bank Transfer	329	Delivered
1074	10-01-2023	C2008	Tech Bazaar	Furniture	Filing Cabinet	23	8500	195500	South	Rajesh Kumar	Credit Card	470	Delivered
1075	10-01-2023	C2021	Prime Solutions	Office Supplies	Calculator Scientific	42	1500	63000	North	Neha Singh	Bank Transfer	542	Delivered
1076	11-01-2023	C2021	Prime Solutions	Office Supplies	File Folders Set	18	280	5040	East	Rajesh Kumar	Credit Card	482	Delivered
1077	11-01-2023	C2012	Quick Shop	Furniture	Computer Desk	1	9500	9500	East	Priya Sharma	Cash	324	Delivered
1078	11-01-2023	C2020	Business Hub	Furniture	Filing Cabinet	12	8500	102000	South	Neha Singh	Cash	486	Cancelled
1079	11-01-2023	C2016	Corporate Supplies	Furniture	Executive Chair	50	12000	600000	East	Priya Sharma	Bank Transfer	525	Delivered
1080	11-01-2023	C2008	Tech Bazaar	Office Supplies	File Folders Set	23	280	6440	West	Amit Patel	UPI	365	Delivered
1081	11-01-2023	C2015	Office Plus	Electronics	Power Bank 20000mAh	18	2200	39600	East	Amit Patel	UPI	304	Cancelled
1082	11-01-2023	C2017	Digital Store	Electronics	USB Flash Drive 64GB	7	650	4550	West	Amit Patel	Credit Card	347	Cancelled
1083	11-01-2023	C2010	Modern Office	Electronics	Desktop Computer	23	35000	805000	East	Priya Sharma	UPI	330	Delivered
1084	12-01-2023	C2005	Digital Hub	Electronics	Smart Watch	23	12000	276000	East	Neha Singh	Cash	607	Delivered
1085	12-01-2023	C2003	Smart Systems	Furniture	Conference Table	28	45000	1260000	East	Priya Sharma	UPI	183	Shipped
1086	12-01-2023	C2013	Enterprise Solutions	Office Supplies	Desk Organizer	47	850	39950	South	Amit Patel	Credit Card	678	Delivered
1087	12-01-2023	C2023	Mega Systems	Office Supplies	Notebook Set	32	320	10240	West	Amit Patel	Bank Transfer	815	Delivered
1088	12-01-2023	C2020	Business Hub	Furniture	Executive Chair	22	12000	264000	South	Neha Singh	Cash	283	Shipped
1089	12-01-2023	C2016	Corporate Supplies	Furniture	Conference Table	47	45000	2115000	West	Neha Singh	Cash	829	Shipped
1090	12-01-2023	C2000	ABC Corp	Office Supplies	File Folders Set	50	280	14000	East	Rajesh Kumar	UPI	795	Delivered
1091	13-01-2023	C2005	Digital Hub	Electronics	USB Flash Drive 64GB	35	650	22750	South	Rajesh Kumar	Cash	367	Delivered
1092	13-01-2023	C2012	Quick Shop	Furniture	Office Partition	38	12000	456000	East	Rajesh Kumar	Bank Transfer	604	Processing
1093	13-01-2023	C2018	Office Depot	Furniture	Meeting Chair	11	5500	60500	South	Rajesh Kumar	Cash	226	Delivered
